Route,Direction,Mean_Absolute_Error,Mean_Squared_Error,Root_Mean_Squared_Error,R2,MPE
38B,2,650.5634629493763,708893.713866471,841.9582613565063,-0.2749916156981169,-0.039447836063214205
84,1,550.0014577259475,516699.2619047619,718.8179615902499,0.1687784376994681,nan
184,1,258.8144702842377,132006.1865633075,363.32655636948357,0.16575723199218273,0.012453229887605848
18,2,494.78226455594313,442195.4951703783,664.9778155475401,0.45472758297623184,nan
118,2,516.8493150684932,419126.5479452055,647.3998362258098,0.040272361963252123,nan
69,2,681.851592579629,872511.5197759888,934.0832509878276,-0.3862283051452504,0.4020029421812846
61,2,353.5917135961384,227017.2670957361,476.4632903967903,0.4347138338673253,-0.013184861098589056
161,2,523.3387096774194,385018.94086021505,620.4989450919438,-1.1872062045503347,-0.5816313541877081
66B,2,502.8455772113943,414230.88455772115,643.6077101447132,-0.05788960657608011,0.16355948487584446
238,1,232.7700746965453,103715.56045751635,322.0490031928625,-0.06101826980211378,0.001770131073581538
76A,2,547.0337711069418,493068.08067542216,702.188066457571,0.3004591735601102,-0.03069699968803101
27A,1,210.69485667818662,116998.3350274446,342.0501937251967,0.40676615658986226,-0.0344672707521554
66,1,520.9255219694609,468235.2935493923,684.2772051949358,0.24276711554969987,0.10423033951744545
31A,2,332.1836054648451,186496.15361546152,431.8520042971452,0.019761247142709548,0.022430763489041983
17,1,482.0852639121089,438873.9768330547,662.4756424451051,0.4185434398861083,nan
102,1,366.18056032018296,247315.201943968,497.3079548368073,0.10941902744041321,0.03684495001776766
